Date,Open,High,Low,Close,Adj Close,Volume
2020-11-02,330.200012,332.359985,327.23999,330.200012,330.200012,86068300
2020-11-03,333.690002,338.25,330.290009,336.029999,336.029999,93294200
2020-11-04,340.859985,347.940002,339.589996,343.540009,343.540009,126959700
2020-11-05,349.23999,352.190002,348.859985,350.23999,350.23999,82039700
2020-11-06,349.929993,351.51001,347.649994,350.160004,350.160004,74973000
2020-11-09,363.970001,364.380005,354.059998,354.559998,354.559998,172304200
2020-11-10,353.48999,355.179993,350.51001,354.040009,354.040009,85552000
2020-11-11,356.399994,357.559998,355.059998,356.670013,356.670013,58649000
2020-11-12,355.579987,356.720001,351.26001,353.209991,353.209991,67546200
2020-11-13,355.269989,358.899994,354.709991,358.100006,358.100006,62892200
2020-11-16,360.980011,362.779999,359.589996,362.570007,362.570007,74541100
2020-11-17,359.970001,361.920013,358.339996,360.619995,360.619995,66111000
2020-11-18,360.910004,361.5,356.23999,356.279999,356.279999,70591300
2020-11-19,355.600006,358.179993,354.149994,357.779999,357.779999,59940900
2020-11-20,357.5,357.720001,355.25,355.329987,355.329987,70417300
2020-11-23,357.279999,358.820007,354.869995,357.459991,357.459991,63230600
2020-11-24,360.209991,363.809998,359.290009,363.220001,363.220001,62415900
2020-11-25,363.130005,363.160004,361.480011,362.660004,362.660004,45330900
2020-11-27,363.839996,364.179993,362.579987,363.670013,363.670013,28514100
2020-11-30,362.829987,363.119995,359.170013,362.059998,362.059998,83872700
2020-12-01,365.570007,367.679993,364.929993,366.019989,366.019989,74505000
2020-12-02,364.820007,366.959991,364.200012,366.790009,366.790009,45927000
2020-12-03,366.679993,368.190002,365.5,366.690002,366.690002,62663700
